X,Y,Z,Roll,Pitch,Yaw
0.02812622,1.058756648,-0.023110714,25.15,-1.19,-0.98
0.223158543,0.195850687,0.119668415,16.71,-1.26,-0.72
1.576386899,1.182981986,0.038424696,33,0.51,-1.41
0.472862405,0.199765615,-0.031541302,25.18,-4.32,2.16
1.699089981,1.862064114,0.119935925,16.86,-1.26,-0.72
1.49644813,0.157014839,0.042831694,32.93,0.53,-1.41
1.824065182,0.170267831,-0.022978307,25.23,-4.31,2.16
1.886884658,0.44626848,0.120315969,17.32,-1.27,-0.72
1.408882154,1.208043275,0.043931634,32.74,0.55,-1.41
1.031503606,1.159240769,-0.035243796,19.34,-1.74,-0.7
1.895552276,0.58843307,0.060345993,25.19,-3.41,2.16
1.905896019,1.005096426,0.120315969,17.32,-1.27,-0.72
0.795155615,0.66682159,0.043931634,32.74,0.55,-1.41
1.691780199,1.98092623,-0.023036337,25.17,-4.32,2.16
1.246798811,1.574201857,0.12023351,17.42,-4.39,2.41
0.075671075,1.153103265,0.040016225,32.72,0.55,-1.41
0.141741369,1.754154591,-0.003163778,25.14,-4.32,2.16
1.613763438,1.955590277,0.119956741,16.91,-4.39,2.41
1.854636258,1.314997978,0.042912359,30.95,-2.35,1.59
1.407865061,0.861642103,-0.002405088,25.2,-1.2,-0.97
1.668288017,1.392018791,0.120357557,16.3,-4.42,2.43
0.467958416,0.455652813,0.039474309,33.33,0.51,-1.4
0.983438548,0.062909079,-0.003160277,25.11,-1.2,-0.97
1.858346384,0.074778631,0.120020518,16.29,-4.39,2.42
1.26102872,1.461698987,0.043600035,32.46,-2.23,1.52
0.205725508,1.484281675,-0.035243796,19.34,-1.74,-0.7
0.066040594,0.500342514,0.059537868,25.06,-0.3,-0.97
0.453189025,0.61668204,0.119845094,16.24,-4.39,2.42
0.038048788,0.030390173,0.043027934,33.46,0,0
1.865746383,0.171945538,-0.002472539,24.97,0,0
1.626786697,0.432232454,0.119121279,16.14,-4.37,2.41
1.806139495,1.610173703,0.043897382,32.4,0.26,-1.32
1.822675137,1.372949401,-0.002516188,24.97,-1.23,-0.95
0.904647289,0.234435545,0.118218728,16.34,-4.32,2.39
